C1611934;DB06335
C2343589;DB06372
C1675326;DB06614
C1831731;DB06616
C1872203;DB06663
C0718043;DB06760
C0018513;DB06786
C0126120;DB06794
C0075503;DB06820
C0772319;DB06826
C0915142;DB08439
C0052772;DB08795
C1566826;DB08864
C0065023;DB08874
C1723401;DB08879
C2983812;DB08893
C2699757;DB08897
C2976303;DB08934
C0059868;DB08984
C0615823;DB08998
C1120110;DB09026
C3179535;DB09034
C3490348;DB09038
C3700399;DB09049
C0037659;DB09099
C2606637;DB09101
C0012341;DB09115
C0137996;DB09125
C0031977;DB09210
C3712232;DB09272
C0028368;DB09389
C0066282;DB09543
C0724614;DB09571
C4080052;DB11574
C0717670;DB00004
C0032143;DB00009
C0256103;DB00015
C0014822;DB00016
C0872913;DB00031
C0795575;DB00036
C0393022;DB00073
C0057144;DB00080
C0913469;DB00082
C0001465;DB00131
C0017890;DB00145
C0006657;DB00146
C0072973;DB00178
C0014987;DB00189
C0006982;DB00190
C0042646;DB00194
C0016277;DB00196
C0014806;DB00199
C0020316;DB00200
C0034283;DB00205
C0772089;DB00209
C0165631;DB00210
C0039468;DB00231
C0168388;DB00234
C0132326;DB00238
C0069765;DB00239
C0054234;DB00241
C0051809;DB00261
C0038745;DB00263
C0039771;DB00277
C0043603;DB00282
C0073571;DB00296
C1122962;DB00317
C0002600;DB00321
C0021246;DB00328
C0025598;DB00331
C0028978;DB00338
C0051150;DB00346
C0048897;DB00360
C0012265;DB00390
C0038803;DB00391
C0074710;DB00413
C0037982;DB00421
C0078839;DB00425
C0054721;DB00429
C0010620;DB00434
C0244404;DB00481
C0068788;DB00507
C0076891;DB00519
C0537894;DB00520
C0069717;DB00526
C0008809;DB00537
C0050451;DB00551
C0020404;DB00557
C0013084;DB00561
C0007716;DB00567
C1099664;DB00569
C0009014;DB00575
C0393080;DB00582
C0016298;DB00591
C0015021;DB00609
C0092777;DB00631
C0009002;DB00636
C0042523;DB00661
C0077163;DB00662
C0060400;DB00671
C0008287;DB00672
C0039286;DB00675
C0209368;DB00688
C0017887;DB00727
C0030863;DB00738
C0011145;DB00746
C0054672;DB00748
C0015046;DB00754
C0015133;DB00773
C0001714;DB00781
C0062092;DB00801
C0005578;DB00810
C0008996;DB00845
C0076080;DB00853
C0058753;DB00858
C0165590;DB00869
C0072980;DB00877
C0909839;DB00879
C0008273;DB00880
C0012145;DB00890
C0001268;DB00919
C0031441;DB00925
C0012201;DB00937
C0935916;DB00947
C0251504;DB00962
C0048038;DB00964
C0025741;DB00968
C0074281;DB00971
C0031849;DB00981
C0851344;DB00990
C0004482;DB00993
C0010523;DB01000
C0022635;DB01009
C0052940;DB01014
C0031862;DB01022
C0103049;DB01025
C0288171;DB01029
C0020740;DB01050
C0012525;DB01081
C0025942;DB01110
C0002412;DB01122
C0378482;DB01129
C0145942;DB01133
C0015020;DB01143
C0012086;DB01144
C0068485;DB01149
C0052416;DB01169
C0031412;DB01174
C0010547;DB01176
C0013015;DB01184
C0041031;DB01246
C0069454;DB01250
C0011705;DB01260
C1960121;DB01266
C1176020;DB01268
C0907349;DB01280
C0032613;DB01324
C0007551;DB01328
C0055003;DB01413
C0030576;DB01421
C0031379;DB01438
C0058056;DB01551
C0302583;DB01592
C0025643;DB01603
C1619629;DB01609
C0065767;DB02300
C0070570;DB03255
C1721377;DB04868
C1531015;DB04895
C1144403;DB04911
C0247194;DB04946
C1311070;DB05109
C2364481;DB05332
C2742502;DB05578
C0389169;DB06211
C1739768;DB06228
C1707080;DB06287
C0971637;DB06594
C0969324;DB06612
C1700874;DB06626
C0000477;DB06637
C1690432;DB06643
C0055477;DB06725
C0002421;DB06742
C0002615;DB06767
C0025405;DB06823
C0040976;DB06824
C0003143;DB08799
C0073601;DB08806
C0300205;DB08867
C0058978;DB08887
C2000261;DB08890
C2980094;DB08896
C2742503;DB08935
C0014405;DB08993
C0054270;DB09016
C3851350;DB09027
C3179547;DB09029
C2974521;DB09030
C3272698;DB09039
C3661282;DB09068
C3853822;DB09073
C2975435;DB09075
C0281581;DB09077
C0008293;DB09093
C3252090;DB09102
C0142825;DB09154
C3852512;DB09183
C0042665;DB09185
C0065199;DB09212
C0535459;DB09257
C3885063;DB09264
C0526950;DB09290
C3852670;DB09296
C0043491;DB09321
C0030829;DB09323
C0031962;DB09350
C0724565;DB09485
C0020306;DB09526
C2000145;DB11362
C4080053;DB11575
C4079830;DB11581
C0142046;DB00010
C0796545;DB00022
C0795635;DB00030
C0937932;DB00049
C0254119;DB00060
C0244713;DB00068
C1302054;DB00090
C1137427;DB00103
C0034272;DB00165
C0216784;DB00177
C0116569;DB00187
C0040207;DB00208
C0010980;DB00250
C0013090;DB00254
C0717537;DB00258
C0007550;DB00274
C0048470;DB00278
C0937916;DB00287
C0076823;DB00289
C0301407;DB00306
C0042682;DB00309
C0008294;DB00310
C0042291;DB00313
C0108111;DB00326
C0171023;DB00334
C0004147;DB00335
C0041038;DB00347
C0078257;DB00361
C0028351;DB00368
C0009279;DB00375
C0006983;DB00389
C1516119;DB00398
C0002333;DB00404
C0024056;DB00408
C0025810;DB00422
C0014582;DB00445
C0050559;DB00459
C0141756;DB00462
C0008286;DB00477
C0035629;DB00478
C0030049;DB00497
C0040377;DB00500
C0040379;DB00525
C1135135;DB00530
C0010583;DB00531
C0060405;DB00535
C0030896;DB00552
C0015837;DB00573
C0249458;DB00577
C0085154;DB00585
C0082787;DB00596
C0022860;DB00598
C0039925;DB00599
C0027324;DB00607
C0113293;DB00633
C0075632;DB00669
C0031978;DB00670
C0016967;DB00674
C0600296;DB00686
C0058031;DB00707
C0068483;DB00716
C0052759;DB00719
C0062923;DB00725
C0073393;DB00734
C0937846;DB00736
C0025039;DB00737
C0040845;DB00755
C0032825;DB00761
C0110038;DB00766
C0527189;DB00768
C0033447;DB00782
C0014912;DB00783
C0025152;DB00784
C0136123;DB00790
C0012010;DB00829
C0070592;DB00832
C0026088;DB00834
C0006246;DB00835
C0027348;DB00844
C0010648;DB00847
C0010927;DB00851
C0002563;DB00855
C0076110;DB00857
C0971579;DB00862
C0053881;DB00885
C0006376;DB00887
C0025033;DB00888
C0246631;DB00899
C0012133;DB00900
C0246689;DB00912
C0012472;DB00917
C0022642;DB00920
C0004475;DB00928
C0025497;DB00933
C0025893;DB00948
C0540623;DB00952
C0020264;DB00956
C1142985;DB00973
C0013618;DB00974
C0907410;DB00976
C1565316;DB00980
C0754647;DB00998
C0086073;DB01003
C0246421;DB01006
C0055895;DB01013
C0040899;DB01021
C0059714;DB01031
C0085237;DB01056
C0028365;DB01059
C0002645;DB01060
C0059985;DB01073
C0012403;DB01093
C0031935;DB01100
C0030350;DB01113
C0017631;DB01120
C0013547;DB01127
C0054836;DB01136
C0007538;DB01140
C0058389;DB01146
C0011685;DB01151
C0085208;DB01156
C0022487;DB01172
C1099456;DB01175
C0020789;DB01177
C0027358;DB01183
C0055711;DB01188
C0011786;DB01191
C0026259;DB01204
C0057626;DB01209
C0054201;DB01222
C0002575;DB01223
C0085251;DB01228
C0144576;DB01229
C1873633;DB01255
C1565750;DB01261
C1435444;DB01264
C0054670;DB01282
C0053792;DB01294
C0244656;DB01320
C0075007;DB01348
C0051241;DB01352
C0041165;DB01361
C0010961;DB01406
C0907850;DB01410
C0003639;DB01429
C0003420;DB01435
C0017845;DB01437
C0008161;DB01563
C0032910;DB01588
C0072828;DB01589
C0075870;DB01606
C0053225;DB03793
C0064582;DB04398
C0038880;DB04786
C1135132;DB04845
C0055021;DB04846
C1570906;DB04876
C2604635;DB05528
C1608841;DB05679
C2718773;DB06168
C2001271;DB06204
C2000088;DB06216
C0103045;DB06288
C1832049;DB06317
C0763530;DB06415
C1880288;DB06700
C2919267;DB06720
C0012383;DB06782
C0044971;DB06789
C0025638;DB06799
C0066411;DB06800
C0071330;DB06811
C3264621;DB08820
C0043832;DB08826
C2350866;DB08871
C2746078;DB08882
C1948374;DB08906
C0058218;DB08908
C3490329;DB08909
C3651269;DB08913
C0301409;DB09014
C0068006;DB09031
C1609931;DB09036
C3642427;DB09041
C3853839;DB09052
C0037537;DB09072
C0005099;DB09084
C1328071;DB09107
C0771648;DB09113
C0075262;DB09118
C0281351;DB09144
C0040108;DB09205
C0287983;DB09223
C0018034;DB09276
C0065533;DB09281
C4033447;DB09292
C4056441;DB09343
C0024472;DB09407
C0677829;DB00039
C0876232;DB00040
C0009053;DB00048
C1122087;DB00051
C0728747;DB00072
C0383429;DB00087
C0010592;DB00091
C1174995;DB00095
C0210630;DB00099
C0663182;DB00111
C0796392;DB00112
C0008405;DB00122
C0004015;DB00128
C0024002;DB00186
C0076840;DB00214
C0008845;DB00215
C0536495;DB00218
C0024027;DB00227
C0005098;DB00245
C0380393;DB00246
C0025859;DB00264
C0164815;DB00299
C0000970;DB00316
C0034239;DB00339
C0065879;DB00351
C0039902;DB00352
C0025760;DB00353
C0038675;DB00359
C0038633;DB00364
C0086444;DB00380
C0033254;DB00387
C0018242;DB00400
C0057605;DB00405
C0025659;DB00423
C0209227;DB00426
C0040987;DB00432
C0004975;DB00436
C0007559;DB00438
C0037556;DB00464
C0043474;DB00495
C0007299;DB00521
C0025854;DB00524
C0526399;DB00528
C0120446;DB00536
C0033511;DB00550
C0216660;DB00558
C0025677;DB00563
C0042670;DB00570
C0031957;DB00592
C0006491;DB00611
C0140575;DB00615
C0070072;DB00617
C0935989;DB00619
C0008174;DB00628
C0023610;DB00644
C0023413;DB00650
C0030873;DB00652
C0068771;DB00665
C0064906;DB00666
C1176306;DB00673
C0043031;DB00682
C0040341;DB00684
C0031448;DB00692
C0016377;DB00712
C0165032;DB00724
C0039832;DB00730
C0073379;DB00740
C0039644;DB00759
C0066005;DB00760
C0002335;DB00770
C0024547;DB00772
C0031392;DB00780
C0717550;DB00796
C0040373;DB00797
C0015846;DB00813
C0000981;DB00819
C0027444;DB00826
C0023992;DB00836
C0016374;DB00846
C0025382;DB00849
C0066101;DB00902
C0002403;DB00915
C0025872;DB00916
C0006405;DB00921
C0246904;DB00922
C0025603;DB00931
C0025042;DB00939
C0056835;DB00942
C0054094;DB00963
C0012582;DB00975
C0068397;DB00984
C0069739;DB00991
C0006463;DB01008
C0017628;DB01016
C0026187;DB01017
C0015772;DB01023
C0146224;DB01030
C0033209;DB01032
C0388753;DB01036
C0025242;DB01043
C0030827;DB01053
C0012319;DB01070
C0064263;DB01084
C0107497;DB01091
C0671970;DB01101
C0285590;DB01128
C0007737;DB01139
C0053882;DB01150
C0074391;DB01153
C0054040;DB01158
C0008223;DB01178
C0020823;DB01181
C0016366;DB01185
C0052585;DB01208
C0025853;DB01233
C0011777;DB01234
C0061328;DB01251
C1506770;DB01259
C0936148;DB01263
C1453933;DB01265
C0904505;DB01277
C0061330;DB01289
C0038679;DB01299
C0123677;DB01306
C0137904;DB01344
C0662811;DB01349
C0014479;DB01364
C0025380;DB01365
C0055011;DB01416
C0057981;DB01501
C0060194;DB01550
C0030040;DB01580
C0033215;DB01599
C0076653;DB01600
C0002711;DB01612
C0608826;DB01615
C0301373;DB01625
C0023726;DB01627
C0672708;DB02546
C0016875;DB02703
C0022949;DB04465
C0039871;DB04572
C0070455;DB04930
C0754011;DB05812
C0001047;DB06151
C1620287;DB06209
C0000378;DB06262
C1704271;DB06268
C2346970;DB06401
C0030072;DB06412
C1121991;DB06441
C1998098;DB06603
C1619962;DB06681
C0531104;DB06708
C0076286;DB06764
C0718495;DB06768
C0008024;DB06777
C0060234;DB06783
C0121902;DB06788
C0006403;DB08808
C1134659;DB08885
C2930696;DB08895
C2987417;DB08901
C2347624;DB08910
C3253985;DB08930
C2825286;DB09047
C2698692;DB09054
C2930789;DB09079
C0123163;DB09081
C0725101;DB09087
C3529563;DB09109
C0028158;DB09152
C0059862;DB09166
C0753287;DB09230
C1876226;DB09262
C2973895;DB09265
C0936139;DB09267
C3273719;DB09291
C3864824;DB09297
C3713958;DB09299
C0006519;DB09300
C3529352;DB09303
C3709760;DB09310
C0078794;DB09322
C0046100;DB09496
C0724705;DB09552
C3892863;DB09560
C3273711;DB09570
C3853921;DB11363
C3489764;DB11569
C0995188;DB00002
C0717758;DB00005
C0937950;DB00012
C0966225;DB00043
C1533699;DB00056
C0071568;DB00059
C0253563;DB00063
C0537439;DB00109
C0036720;DB00133
C0008318;DB00169
C0031447;DB00191
C0006464;DB00237
C0107994;DB00248
C0020811;DB00249
C0065865;DB00253
C0051556;DB00288
C0008163;DB00291
C0262964;DB00314
C0528166;DB00315
C0012291;DB00320
C0028193;DB00325
C0033743;DB00344
C0173083;DB00348
C0055891;DB00349
C0004521;DB00355
C0023566;DB00367
C0049506;DB00370
C0220578;DB00377
C0068314;DB00385
C0031469;DB00388
C0028094;DB00393
C0028116;DB00401
C0036516;DB00418
C1321596;DB00419
C0008168;DB00446
C0025376;DB00454
C0065180;DB00455
C0068334;DB00461
C0076096;DB00469
C0008188;DB00475
C0012093;DB00485
C0529351;DB00496
C0016384;DB00499
C0002644;DB00543
C0025684;DB00553
C1260298;DB00560
C0114873;DB00590
C0015043;DB00593
C0022322;DB00602
C0065864;DB00603
C0028005;DB00622
C0771311;DB00630
C0032952;DB00635
C0028741;DB00646
C0026256;DB00648
C0126174;DB00678
C0039943;DB00679
C0379881;DB00685
C0011015;DB00694
C0070122;DB00715
C0123931;DB00762
C0069751;DB00776
C0001367;DB00787
C0041920;DB00791
C3854019;DB00798
C0060180;DB00800
C0012772;DB00822
C0025368;DB00825
C0008806;DB00827
C0016610;DB00828
C0055899;DB00838
C0040372;DB00839
C0005096;DB00865
C0035661;DB00867
C0966107;DB00872
C0016367;DB00875
C0008196;DB00878
C0937917;DB00905
C0015620;DB00927
C0036079;DB00936
C0012132;DB00943
C0004057;DB00945
C0297635;DB00953
C0058445;DB00954
C0068992;DB00957
C0908935;DB00967
C0010934;DB00970
C0015011;DB00977
C0022265;DB00982
C0012381;DB00985
C0001927;DB01001
C0017066;DB01004
C0287573;DB01066
C0048044;DB01080
C0076275;DB01083
C0031923;DB01085
C0005059;DB01086
C0965129;DB01098
C0034403;DB01103
C0002598;DB01118
C0071097;DB01132
C0013085;DB01142
C0085176;DB01157
C0032334;DB01179
C0673966;DB01194
C0006230;DB01200
C0023972;DB01206
C0006388;DB01210
